S.no,Name,Link,Emotion,Points
1,Jee karda - Badlapur,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0soN1GwE6Zf2Z78lrXb3rv?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,4
2,Din Pareshaan ha - Bol,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7gNfiBDwnqG3jHnlV3fsO3?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,5
3,Chil gaye naina - NH 10,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5MR1v5FjTcAMFi6onED6iz?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,4
4,Sadda Haq- Mohit Chauhan,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7k3jpyYPnVnbO0p7iejWxL?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,5
5,Zinda-Siddharth Mahadevan,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7vZz8oJ5qAqB9MghufRK5k?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,5
6,Dhan te Nan,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2BOY77LvMTUOfLcnfFAJGl?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,3
7,Ud-daa Punjab,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7yn0E97MoGLBaW8mqIwqNr?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,2
8,Deva Shree Ganesha,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6Ozx2ngGtXrqznTKhKBlrT?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,5
9,Dhakad,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75XthnFP7DNG48s4gtNIkS?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",angry,3
10,Saali Khushi- Amit Trivedi,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7wRmY78Evs2Ol6veaG57JE?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,3
11,Aao na,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1d11xbMYeK2ldGOl5QiV2e?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,4
12,Baarish- Ash King and Shashaa Tirupati,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/16BGhwv8wYXkv2mMJF7ryv?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,3
13,Dooriyan- Dino james,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4nKc9yiwXWlEByq1oMfHU6?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,3
14,Abhi Mujhe Mein Kahin,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/73y649QhnXdcm6fRdvfraO?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,4
15,Khuda Jaane-  KK and Shilpa Rao,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0gPgdRfB4jdGrlyXS0Vx78?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,4
16,Die for You,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2lz3zjQ5QCVXiyOzIk02vW?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,5
17,See you Again,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2JzZzZUQj3Qff7wapcbKjc?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,4
18,Tu Hai ki Nahi,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4brSaQIT3bnnE41D042fgL?utm_source=generator"" width=""100%"" height=""80"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""></iframe>",sad,2
